RK,Name,First Name,Last name,REC,YDS,AVG,LNG,TD
181,Jimmy Horn,Jimmy,Horn,58,567,9.8,45,6
182,Christan Horn,Christan,Horn,36,566,15.7,52,6
183,Colbie Young,Colbie,Young,47,563,12,57,5
184,Pat Bryant,Pat,Bryant,43,560,13,46,7
185,Jalen McMillan,Jalen,McMillan,45,559,12.4,45,5
186,Kyren Lacy,Kyren,Lacy,30,558,18.6,57,7
187,Braden Smith,Braden,Smith,43,557,13,48,4
188,Xavier White,Xavier,White,39,556,14.3,72,1
189,Luke Grimm,Luke,Grimm,33,555,16.8,60,6
190,Tayvion Robinson,Tayvion,Robinson,41,552,13.5,56,4
190,Drake Dabney,Drake,Dabney,33,552,16.7,63,5
190,Cameron Ross,Cameron,Ross,44,552,12.5,46,2
193,Caleb Medford,Caleb,Medford,30,551,18.4,59,2
193,Jeremiah Ballard,Jeremiah,Ballard,34,551,16.2,50,1
193,Trent Hudson,Trent,Hudson,35,551,15.7,78,10
196,Devin McCuin,Devin,McCuin,42,546,13,72,3
197,Barion Brown,Barion,Brown,43,539,12.5,60,4
197,Leon Johnson,Leon,Johnson,33,539,16.3,67,1
199,Jaylin Lane,Jaylin,Lane,41,538,13.1,75,6
199,Eugene Wilson,Eugene,Wilson,61,538,8.8,30,6
201,David Martin-Robinson,David,Martin-Robinson,40,537,13.4,47,4
202,JP Richardson,JP,Richardson,46,536,11.7,59,3
203,Marcus Rosemy-Jacksaint,Marcus,Rosemy-Jacksaint,34,535,15.7,50,4
204,Odieu Hiliare,Odieu,Hiliare,45,532,11.8,46,4
205,Tyler Brown,Tyler,Brown,52,531,10.2,47,4
205,Trayvon Rudolph,Trayvon,Rudolph,51,531,10.4,72,2
207,Daniel George,Daniel,George,52,529,10.2,50,1
208,Tanner McLachlan,Tanner,McLachlan,45,528,11.7,36,4
208,Jake Bailey,Jake,Bailey,42,528,12.6,34,0
210,Jared Wiley,Jared,Wiley,47,520,11.1,81,8
211,RJ Maryland,RJ,Maryland,34,518,15.2,62,7
212,Jaelen Gill,Jaelen,Gill,49,516,10.5,65,6
213,Emeka Egbuka,Emeka,Egbuka,41,515,12.6,28,4
214,Evan Stewart,Evan,Stewart,38,514,13.5,44,4
215,Dalvin Smith,Dalvin,Smith,50,513,10.3,45,6
216,Beaux Collins,Beaux,Collins,38,510,13.4,69,3
217,Mac Dalena,Mac,Dalena,47,509,10.8,39,3
218,Dante Wright,Dante,Wright,39,507,13,71,4
219,Jordan Whittington,Jordan,Whittington,42,505,12,41,1
220,Jaheim Bell,Jaheim,Bell,39,503,12.9,49,2
220,Zavion Thomas,Zavion,Thomas,40,503,12.6,35,1
222,Malik Rutherford,Malik,Rutherford,46,502,10.9,55,4
222,Reymello Murphy,Reymello,Murphy,28,502,17.9,61,3
224,Devin Carter,Devin,Carter,27,501,18.6,49,2
225,Jake Briningstool,Jake,Briningstool,50,498,10,50,5
225,Latreal Jones,Latreal,Jones,36,498,13.8,43,3
227,Marlyn Johnson,Marlyn,Johnson,40,495,12.4,80,4
